id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude,section_prefixe,Anciennete_date_mutation
2025-414832,2025-01-30,1,Vente,158000.0,164.0,,RTE DES COMMONI,6989,83200.0,83137,Toulon,83,,23.0,,34.0,51.56,,,,,,,2,2.0,Appartement,50.0,2.0,,5.917898,43.160308,000EP,400
2025-414836,2025-01-30,1,Vente,275000.0,225.0,,CHE DE FORGENTIER,2900,83200.0,83137,Toulon,83,,2.0,138.2,,,,,,,,,1,2.0,Appartement,110.0,6.0,,5.90284,43.133845,000DL,400
2025-414837,2025-01-24,1,Vente,225000.0,442.0,,QUAI MARCEL PAGNOL,4798,83000.0,83137,Toulon,83,,44.0,77.6,,,,,,,,,1,2.0,Appartement,82.0,4.0,,5.940036,43.114364,000BZ,406
2025-414838,2025-01-31,1,Vente,165550.0,1621.0,,AV JOSEPH GASQUET,4030,83100.0,83137,Toulon,83,,22.0,,32.0,56.16,,,,,,,2,2.0,Appartement,54.0,3.0,,5.972765,43.12319,000BD,399
2025-414839,2025-01-29,1,Vente,160000.0,359.0,,BD PELLICOT,5695,83200.0,83137,Toulon,83,,13.0,48.35,,,,,,,,,1,2.0,Appartement,47.0,2.0,,5.908815,43.128919,000CW,401
2025-414844,2025-02-06,1,Vente,132000.0,160.0,,BD DOCTEUR CHARLES BARNIER,2245,83000.0,83137,Toulon,83,,1.0,78.87,,,,,,,,,1,2.0,Appartement,67.0,3.0,,5.928652,43.130949,000AN,393
2025-414847,2025-01-16,1,Vente,200000.0,160.0,,CHE DE LA MARTELLE,4952,83200.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,68.0,4.0,598.0,5.913249,43.153144,000EP,414
2025-414851,2025-01-29,1,Vente,125000.0,836.0,,BD DES ARMARIS,0415,83100.0,83137,Toulon,83,,1036.0,46.54,,,,,,,,,1,2.0,Appartement,47.0,2.0,,5.982516,43.125691,000AZ,401
2025-414853,2025-01-30,1,Vente,310537.0,198.0,,CHE BARTHELEMY FLORENT,0618,83200.0,83137,Toulon,83,,13.0,,14.0,94.2,,,,,,,2,1.0,Maison,91.0,3.0,,5.914789,43.148912,000EW,400
2025-414863,2025-01-23,1,Vente,198000.0,1331.0,,BD DES ARMARIS,0415,83100.0,83137,Toulon,83,,285.0,78.79,,,,,,,,,1,2.0,Appartement,78.0,4.0,,5.980816,43.129856,000AW,407
