id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude,section_prefixe,Anciennete_date_mutation
2024-1009812,2024-02-05,1,Vente,180200.0,9010.0,,IMP ARBOUSIERS,0380,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,52.0,3.0,500.0,,,000DV,760
2024-1009812,2024-02-05,1,Vente,180200.0,9010.0,,IMP ARBOUSIERS,0380,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,52.0,3.0,1489.0,,,000DV,760
2024-1009812,2024-02-05,1,Vente,180200.0,9010.0,,IMP ARBOUSIERS,0380,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,33.0,2.0,1489.0,,,000DV,760
2024-1009812,2024-02-05,1,Vente,180200.0,9010.0,,IMP ARBOUSIERS,0380,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,33.0,2.0,500.0,,,000DV,760
2024-1009872,2024-02-05,1,Vente,356454.0,832.0,,QUAI COMMANDANT RIVIERE,1835,83200.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,100.0,5.0,236.0,5.907192,43.135605,000DK,760
2024-1009879,2024-02-02,1,Vente,380000.0,9003.0,,RUE BAUDELAIRE,0658,83000.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,80.0,4.0,335.0,5.961138,43.115029,000BN,763
2024-1009885,2024-01-18,1,Vente,410000.0,409.0,,AV DE L ELISA,2545,83100.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,78.0,3.0,173.0,5.966892,43.132694,000AT,778
2024-1009889,2024-02-01,1,Vente,265000.0,8.0,,RUE DUPLESSIS OLLIVAULT,2435,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,45.0,2.0,225.0,5.9364,43.13213,000AO,764
2024-1009889,2024-02-01,1,Vente,265000.0,8.0,,RUE DUPLESSIS OLLIVAULT,2435,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,52.0,3.0,225.0,5.9364,43.13213,000AO,764
2024-1009940,2024-01-31,1,Vente,214600.0,181.0,,RUE DU DAHOMEY,2030,83200.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,56.0,3.0,228.0,5.888184,43.129023,000DP,765
